"X"	"latitude"	"longitude"	"returned.address"	"zipcode"	"neighborhood"	"borough"
"145"	145	40.75828	-73.97069	"135-147 E 53rd St, New York, NY 10022, USA"	"10022"	"Gramercy Park and Murray Hill"	"Manhattan"
"146"	146	40.71413	-73.95234	"455-495 Metropolitan Ave, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"147"	147	40.73653	-74.00618	"99 Bank St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
"148"	148	40.70691	-73.95442	"327 Division Ave, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"149"	149	40.76371	-73.98516	"875 8th Ave, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"150"	150	40.76123	-73.96094	"1121 1st Avenue, New York, NY 10065, USA"	"10065"	"Upper East Side"	"Manhattan"
"151"	151	40.70835	-74.01713	"28 W Thames St, New York, NY 10280, USA"	"10280"	"Lower Manhattan"	"Manhattan"
"152"	152	40.76591	-73.97634	"Center Drive, New York, NY 10019, USA"	"10019"	"Chelsea and Clinton"	"Manhattan"
"153"	153	40.73314	-73.97574	"532 E 20th St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"154"	154	40.72217	-73.98369	"194-208 E 2nd St, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"155"	155	40.71287	-73.95698	"307 Grand St, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"156"	156	40.68516	-73.97711	"16-32 Hanson Pl, Brooklyn, NY 11217, USA"	"11217"	"Northwest Brooklyn"	"Brooklyn"
"157"	157	40.77573	-73.95675	"176 E 81st St, New York, NY 10028, USA"	"10028"	"Upper East Side"	"Manhattan"
"158"	158	40.72842	-73.98714	"39-41 St Marks Pl, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"159"	159	40.73936	-73.99932	"201-205 W 15th St, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"160"	160	40.7455	-74.00197	"186 9th Ave, New York, NY 10011, USA"	"10011"	"Chelsea and Clinton"	"Manhattan"
"161"	161	40.71167	-73.95141	"163-169 Hope St, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"162"	162	40.71413	-73.99705	"5 Division St, New York, NY 10002, USA"	"10002"	"Lower East Side"	"Manhattan"
"163"	163	40.72468	-73.98783	"90 E 3rd St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"164"	164	40.70412	-73.94819	"5-11 Throop Ave, Brooklyn, NY 11206, USA"	"11206"	"Bushwick and Williamsburg"	"Brooklyn"
"165"	165	40.72581	-73.97422	"10C, 178 Avenue D, New York, NY 10009, USA"	"10009"	"Lower East Side"	"Manhattan"
"166"	166	40.71349	-73.94792	"81 Devoe St, Brooklyn, NY 11211, USA"	"11211"	"Greenpoint"	"Brooklyn"
"167"	167	40.73423	-73.98692	"145 E 15th St, New York, NY 10003, USA"	"10003"	"Lower East Side"	"Manhattan"
"168"	168	40.71901	-73.95853	"103 Berry St, Brooklyn, NY 11249, USA"	"11249"	"Bushwick and Williamsburg"	"Brooklyn"
"169"	169	40.74394	-73.97966	"155-199 E 31st St, New York, NY 10016, USA"	"10016"	"Gramercy Park and Murray Hill"	"Manhattan"
"170"	170	40.71495	-74.00234	"67-73 Centre St, New York, NY 10013, USA"	"10013"	"Greenwich Village and Soho"	"Manhattan"
"171"	171	40.71117	-73.99683	"50-76 Catherine St, New York, NY 10038, USA"	"10038"	"Lower Manhattan"	"Manhattan"
"172"	172	40.74916	-73.9916	"11 Pennsylvania Plaza, New York, NY 10001, USA"	"10001"	"Chelsea and Clinton"	"Manhattan"
"173"	173	40.73535	-74.00483	"87 Perry St, New York, NY 10014, USA"	"10014"	"Greenwich Village and Soho"	"Manhattan"
