,month,day_of_month,day_of_week,neighborhood,morning_outgoing,afternoon_outgoing,morning_incoming,afternoon_incoming
132,7,11,0,Bushwick and Williamsburg,119,67,68,85
133,7,11,0,Northwest Queens,28,53,37,29
134,7,11,0,Gramercy Park and Murray Hill,778,1286,1062,735
135,7,11,0,Lower Manhattan,319,757,576,364
136,7,11,0,Chelsea and Clinton,1269,1562,1205,1632
137,7,11,0,Upper East Side,261,201,115,258
138,7,11,0,Lower East Side,957,659,468,933
139,7,11,0,Central Brooklyn,83,19,30,28
140,7,11,0,Greenpoint,164,86,93,114
141,7,11,0,Upper West Side,139,172,50,267
142,7,11,0,Sunset Park,1,4,2,4
143,7,12,1,Greenwich Village and Soho,450,718,632,611
144,7,12,1,Lower East Side,1100,708,471,943
145,7,12,1,Chelsea and Clinton,1337,1556,1371,1584
146,7,12,1,Gramercy Park and Murray Hill,803,1259,1246,729
147,7,12,1,Northwest Brooklyn,264,212,248,191
148,7,12,1,Upper West Side,387,165,78,286
149,7,12,1,Greenpoint,188,97,102,101
150,7,12,1,Bushwick and Williamsburg,136,74,83,91
151,7,12,1,Lower Manhattan,343,759,618,406
152,7,12,1,Upper East Side,322,202,144,257
153,7,12,1,Central Brooklyn,75,17,24,28
154,7,12,1,Northwest Queens,26,48,53,36
155,7,12,1,Sunset Park,0,1,0,1
156,7,13,2,Lower East Side,1051,662,449,923
157,7,13,2,Greenwich Village and Soho,465,655,602,616
158,7,13,2,Gramercy Park and Murray Hill,786,1292,1182,767
159,7,13,2,Greenpoint,162,83,90,114
160,7,13,2,Northwest Brooklyn,254,194,227,193
161,7,13,2,Bushwick and Williamsburg,133,94,79,98
162,7,13,2,Chelsea and Clinton,1366,1639,1384,1663
163,7,13,2,Upper East Side,314,222,151,300
164,7,13,2,Upper West Side,366,197,79,293
165,7,13,2,Lower Manhattan,347,714,625,396
166,7,13,2,Northwest Queens,31,50,62,36
167,7,13,2,Central Brooklyn,89,22,36,25
168,7,13,2,Sunset Park,0,2,2,0
169,7,14,3,Chelsea and Clinton,1229,1363,1220,1334
170,7,14,3,Northwest Brooklyn,240,163,220,151
171,7,14,3,Northwest Queens,29,21,45,28
172,7,14,3,Upper West Side,305,150,66,208
173,7,14,3,Greenwich Village and Soho,400,602,548,445
174,7,14,3,Lower East Side,1052,534,515,787
175,7,14,3,Greenpoint,148,76,86,89
176,7,14,3,Upper East Side,287,181,146,201
177,7,14,3,Lower Manhattan,325,569,565,297
178,7,14,3,Gramercy Park and Murray Hill,699,1052,1015,634
179,7,14,3,Bushwick and Williamsburg,132,57,82,66
180,7,14,3,Central Brooklyn,71,21,26,20
181,7,14,3,Sunset Park,0,0,2,0
182,7,15,4,Chelsea and Clinton,1038,1268,1031,1266
183,7,15,4,Greenpoint,119,89,73,96
184,7,15,4,Greenwich Village and Soho,357,644,414,590
185,7,15,4,Lower East Side,924,648,453,862
186,7,15,4,Gramercy Park and Murray Hill,576,837,898,527
187,7,15,4,Upper West Side,314,159,73,241
188,7,15,4,Lower Manhattan,295,502,468,318
189,7,15,4,Northwest Brooklyn,212,180,199,200
190,7,15,4,Bushwick and Williamsburg,83,76,62,88
191,7,15,4,Upper East Side,252,194,125,213
192,7,15,4,Northwest Queens,17,20,26,26
193,7,15,4,Central Brooklyn,58,25,23,32
194,7,15,4,Sunset Park,0,0,2,0
195,7,15,4,Hudson,0,0,0,1
196,7,16,5,Lower East Side,241,417,200,426
197,7,16,5,Northwest Brooklyn,61,134,65,124
198,7,16,5,Greenwich Village and Soho,109,342,144,313
199,7,16,5,Gramercy Park and Murray Hill,117,194,111,210
200,7,16,5,Chelsea and Clinton,294,652,253,601
201,7,16,5,Greenpoint,25,79,27,71
202,7,16,5,Bushwick and Williamsburg,19,96,19,83
203,7,16,5,Upper East Side,73,123,56,113
204,7,16,5,Lower Manhattan,107,219,78,206
205,7,16,5,Upper West Side,77,183,47,164
206,7,16,5,Northwest Queens,2,26,6,14
207,7,16,5,Central Brooklyn,22,14,14,25
208,7,17,6,Greenwich Village and Soho,74,417,107,463
209,7,17,6,Lower East Side,191,480,136,598
210,7,17,6,Chelsea and Clinton,254,839,193,848
211,7,17,6,Greenpoint,16,126,12,145
212,7,17,6,Bushwick and Williamsburg,15,102,14,110
213,7,17,6,Lower Manhattan,82,325,58,307
214,7,17,6,Upper West Side,56,239,47,208
215,7,17,6,Northwest Brooklyn,38,202,36,199
216,7,17,6,Gramercy Park and Murray Hill,77,305,88,275
217,7,17,6,Central Brooklyn,14,36,11,21
218,7,17,6,Upper East Side,33,209,32,164
219,7,17,6,Northwest Queens,10,27,7,32
220,7,18,0,Northwest Queens,23,21,46,13
221,7,18,0,Bushwick and Williamsburg,118,20,93,19
222,7,18,0,Lower East Side,969,282,430,327
223,7,18,0,Greenwich Village and Soho,402,287,536,166
224,7,18,0,Lower Manhattan,327,268,557,133
225,7,18,0,Northwest Brooklyn,191,75,172,61
226,7,18,0,Upper East Side,223,62,109,64
227,7,18,0,Gramercy Park and Murray Hill,689,467,980,232
228,7,18,0,Chelsea and Clinton,1225,661,1145,517
229,7,18,0,Greenpoint,147,33,70,30
230,7,18,0,Upper West Side,194,45,51,55
231,7,18,0,Central Brooklyn,53,1,20,3
232,7,18,0,Sunset Park,0,0,2,0
233,7,19,1,Gramercy Park and Murray Hill,797,1269,1158,719
234,7,19,1,Lower East Side,1150,708,492,936
235,7,19,1,Lower Manhattan,353,705,635,381
236,7,19,1,Greenwich Village and Soho,481,687,620,541
237,7,19,1,Chelsea and Clinton,1317,1559,1320,1600
238,7,19,1,Northwest Brooklyn,252,201,235,187
239,7,19,1,Bushwick and Williamsburg,125,77,91,97
240,7,19,1,Northwest Queens,31,45,51,35
241,7,19,1,Greenpoint,173,92,89,92
242,7,19,1,Upper West Side,225,179,62,273
243,7,19,1,Upper East Side,332,203,147,261
244,7,19,1,Central Brooklyn,89,26,32,31
245,7,19,1,Sunset Park,0,1,1,1
246,7,20,2,Chelsea and Clinton,1344,1652,1402,1680
247,7,20,2,Lower East Side,1091,684,506,1010
248,7,20,2,Lower Manhattan,353,754,648,367
249,7,20,2,Gramercy Park and Murray Hill,800,1328,1133,726
250,7,20,2,Greenwich Village and Soho,479,732,594,573
251,7,20,2,Upper West Side,337,173,76,291
252,7,20,2,Northwest Brooklyn,261,226,231,219
253,7,20,2,Greenpoint,181,77,110,97
254,7,20,2,Upper East Side,317,208,150,249
255,7,20,2,Northwest Queens,23,47,47,41
256,7,20,2,Bushwick and Williamsburg,154,81,76,82
257,7,20,2,Central Brooklyn,81,31,30,38
258,7,20,2,Sunset Park,0,0,1,1
259,7,21,3,Chelsea and Clinton,1371,1499,1336,1483
260,7,21,3,Northwest Brooklyn,253,218,238,197
261,7,21,3,Lower East Side,1091,629,508,951
262,7,21,3,Greenpoint,162,74,77,77
263,7,21,3,Gramercy Park and Murray Hill,731,1211,1122,693
264,7,21,3,Northwest Queens,32,44,52,29
265,7,21,3,Greenwich Village and Soho,361,655,512,589
266,7,21,3,Upper West Side,406,212,97,256
267,7,21,3,Upper East Side,332,206,153,251
268,7,21,3,Bushwick and Williamsburg,125,69,79,65
269,7,21,3,Lower Manhattan,324,674,616,359
270,7,21,3,Central Brooklyn,87,13,28,26
271,7,21,3,Sunset Park,1,1,3,0
272,7,21,3,Hudson,0,0,0,0
273,7,22,4,Chelsea and Clinton,1118,1259,1131,1357
274,7,22,4,Lower Manhattan,284,529,527,337
275,7,22,4,Greenwich Village and Soho,379,635,471,570
276,7,22,4,Lower East Side,957,630,397,868
277,7,22,4,Upper East Side,268,197,134,246
278,7,22,4,Central Brooklyn,65,18,22,39
279,7,22,4,Greenpoint,129,94,70,109
280,7,22,4,Gramercy Park and Murray Hill,603,862,929,544
281,7,22,4,Northwest Brooklyn,237,201,216,199
282,7,22,4,Bushwick and Williamsburg,112,65,75,83
283,7,22,4,Northwest Queens,22,31,42,30
284,7,22,4,Upper West Side,323,136,81,235
285,7,22,4,Sunset Park,0,0,1,0
286,7,23,5,Chelsea and Clinton,306,733,304,612
287,7,23,5,Lower Manhattan,99,282,83,257
288,7,23,5,Northwest Brooklyn,66,127,62,154
289,7,23,5,Gramercy Park and Murray Hill,123,245,110,240
290,7,23,5,Lower East Side,242,434,183,499
291,7,23,5,Greenwich Village and Soho,117,324,136,373
292,7,23,5,Upper East Side,72,134,66,161
293,7,23,5,Greenpoint,34,77,26,97
294,7,23,5,Central Brooklyn,10,29,9,25
295,7,23,5,Bushwick and Williamsburg,36,112,31,84
296,7,23,5,Upper West Side,85,180,49,181
297,7,23,5,Northwest Queens,8,24,7,20
298,7,23,5,Sunset Park,0,0,1,0
299,7,24,6,Lower East Side,169,505,116,502
300,7,24,6,Lower Manhattan,80,329,84,302
301,7,24,6,Gramercy Park and Murray Hill,97,320,101,326
302,7,24,6,Chelsea and Clinton,244,817,218,799
303,7,24,6,Upper East Side,52,178,38,171
304,7,24,6,Greenwich Village and Soho,95,403,114,442
305,7,24,6,Northwest Queens,6,24,7,21
306,7,24,6,Greenpoint,25,130,22,138
307,7,24,6,Bushwick and Williamsburg,27,103,30,77
308,7,24,6,Upper West Side,87,233,78,230
309,7,24,6,Central Brooklyn,10,32,9,26
310,7,24,6,Northwest Brooklyn,34,177,38,183
311,7,24,6,Sunset Park,0,0,0,0
312,7,25,0,Lower East Side,995,167,450,347
313,7,25,0,Greenpoint,140,30,77,36
314,7,25,0,Greenwich Village and Soho,376,183,502,181
315,7,25,0,Northwest Brooklyn,219,37,212,68
316,7,25,0,Northwest Queens,26,17,41,17
317,7,25,0,Upper West Side,172,51,36,103
318,7,25,0,Gramercy Park and Murray Hill,672,437,980,344
319,7,25,0,Chelsea and Clinton,1146,507,1102,693
320,7,25,0,Bushwick and Williamsburg,115,18,78,34
321,7,25,0,Lower Manhattan,297,107,528,112
322,7,25,0,Upper East Side,206,64,98,119
323,7,25,0,Central Brooklyn,59,5,15,8
324,7,25,0,Sunset Park,0,0,1,0
325,7,26,1,Chelsea and Clinton,1306,1547,1302,1503
326,7,26,1,Gramercy Park and Murray Hill,738,1201,1098,713
327,7,26,1,Upper East Side,244,211,128,261
328,7,26,1,Greenwich Village and Soho,439,663,562,591
329,7,26,1,Northwest Brooklyn,246,182,217,169
330,7,26,1,Bushwick and Williamsburg,108,62,78,81
331,7,26,1,Lower East Side,919,639,444,876
332,7,26,1,Lower Manhattan,325,670,611,370
333,7,26,1,Central Brooklyn,72,28,20,31
334,7,26,1,Upper West Side,298,153,64,251
335,7,26,1,Greenpoint,162,81,86,89
336,7,26,1,Northwest Queens,34,37,50,39
337,7,26,1,Sunset Park,0,2,2,0
338,7,26,1,Hudson,0,0,0,0
339,7,27,2,Lower East Side,1084,641,483,886
340,7,27,2,Greenwich Village and Soho,424,676,576,548
341,7,27,2,Lower Manhattan,334,690,648,395
342,7,27,2,Greenpoint,162,78,82,104
343,7,27,2,Gramercy Park and Murray Hill,707,1223,1116,705
344,7,27,2,Chelsea and Clinton,1323,1540,1312,1556
345,7,27,2,Northwest Brooklyn,220,183,206,167
346,7,27,2,Bushwick and Williamsburg,123,78,61,84
347,7,27,2,Upper West Side,335,186,62,269
348,7,27,2,Northwest Queens,28,47,56,41
349,7,27,2,Upper East Side,289,207,140,242
350,7,27,2,Central Brooklyn,79,19,19,24
351,7,27,2,Sunset Park,0,1,1,0
352,7,27,2,East Harlem,0,0,0,0
353,7,28,3,Lower East Side,995,635,466,890
354,7,28,3,Northwest Brooklyn,221,182,219,202
355,7,28,3,Greenwich Village and Soho,417,669,523,543
356,7,28,3,Bushwick and Williamsburg,114,72,85,86
357,7,28,3,Chelsea and Clinton,1328,1465,1309,1553
358,7,28,3,Greenpoint,155,82,79,92
359,7,28,3,Upper East Side,307,201,186,251
360,7,28,3,Lower Manhattan,306,601,566,332
361,7,28,3,Gramercy Park and Murray Hill,682,1163,1031,775
362,7,28,3,Northwest Queens,31,36,47,43
363,7,28,3,Upper West Side,318,148,66,272
364,7,28,3,Central Brooklyn,68,33,25,36
365,7,28,3,Sunset Park,0,1,2,0
