,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
171,,22,17,,405,,2016-11-22 02:44:41 PM,40.739323,,-74.008119,,Washington St & Gansevoort St,,Washington St & Gansevoort St,1,In Service,False,40
172,,10,24,,406,,2016-11-22 02:44:02 PM,40.69512845,,-73.99595065,,Hicks St & Montague St,,Hicks St & Montague St,1,In Service,False,34
173,,20,16,,407,,2016-11-22 02:43:59 PM,40.700469,,-73.991454,,Henry St & Poplar St,,Henry St & Poplar St,1,In Service,False,37
174,,0,23,,408,,2016-11-22 02:43:53 PM,40.71076228,,-73.99400398,,Market St & Cherry St,,Market St & Cherry St,1,In Service,False,23
175,,2,16,,409,,2016-11-22 02:41:56 PM,40.6906495,,-73.95643107,,DeKalb Ave & Skillman St,,DeKalb Ave & Skillman St,1,In Service,False,19
176,,6,29,,410,,2016-11-22 02:44:55 PM,40.72066442,,-73.98517977,,Suffolk St & Stanton St,,Suffolk St & Stanton St,1,In Service,False,35
177,,2,19,,411,,2016-11-22 02:43:30 PM,40.72228087,,-73.97668709,,E 6 St & Avenue D,,E 6 St & Avenue D,1,In Service,False,23
178,,4,25,,412,,2016-11-22 02:44:19 PM,40.7158155,,-73.99422366,,Forsyth St & Canal St,,Forsyth St & Canal St,1,In Service,False,29
179,,24,0,,414,,2016-11-22 02:42:26 PM,40.70281858,,-73.98765762,,Pearl St & Anchorage Pl,,Pearl St & Anchorage Pl,1,In Service,False,24
180,,31,11,,415,,2016-11-22 02:44:52 PM,40.7047177,,-74.00926027,,Pearl St & Hanover Square,,Pearl St & Hanover Square,1,In Service,False,42
181,,2,29,,416,,2016-11-22 02:42:05 PM,40.68753406,,-73.97265183,,Cumberland St & Lafayette Ave,,Cumberland St & Lafayette Ave,1,In Service,False,31
182,,22,1,,417,,2016-11-22 02:41:08 PM,40.71291224,,-74.01020234,,Barclay St & Church St,,Barclay St & Church St,1,In Service,False,23
183,,23,0,,418,,2016-11-22 02:41:23 PM,40.70224,,-73.982578,,Front St & Gold St,,Front St & Gold St,1,In Service,False,23
184,,5,18,,419,,2016-11-22 02:44:54 PM,40.69580705,,-73.97355569,,Carlton Ave & Park Ave,,Carlton Ave & Park Ave,1,In Service,False,23
185,,9,14,,420,,2016-11-22 02:43:49 PM,40.68764484,,-73.96968902,,Clermont Ave & Lafayette Ave,,Clermont Ave & Lafayette Ave,1,In Service,False,23
186,,6,13,,421,,2016-11-22 02:43:29 PM,40.69573398,,-73.97129668,,Clermont Ave & Park Ave,,Clermont Ave & Park Ave,1,In Service,False,19
187,,1,54,,422,,2016-11-22 02:43:16 PM,40.770513,,-73.988038,,W 59 St & 10 Ave,,W 59 St & 10 Ave,1,In Service,False,55
188,,6,33,,423,,2016-11-22 02:44:56 PM,40.76584941,,-73.98690506,,W 54 St & 9 Ave,,W 54 St & 9 Ave,1,In Service,False,39
189,,15,15,,426,,2016-11-22 02:41:13 PM,40.71754834,,-74.01322069,,West St & Chambers St,,West St & Chambers St,1,In Service,False,31
190,,44,3,,427,,2016-11-22 02:43:59 PM,40.701907,,-74.013942,,Bus Slip & State St,,Bus Slip & State St,1,In Service,False,47
191,,4,26,,428,,2016-11-22 02:41:10 PM,40.72467721,,-73.98783413,,E 3 St & 1 Ave,,E 3 St & 1 Ave,1,In Service,False,31
192,,27,0,,430,,2016-11-22 02:42:24 PM,40.7014851,,-73.98656928,,York St & Jay St,,York St & Jay St,1,In Service,False,27
193,,1,30,,432,,2016-11-22 02:44:23 PM,40.72621788,,-73.98379855,,E 7 St & Avenue A,,E 7 St & Avenue A,1,In Service,False,31
194,,3,36,,433,,2016-11-22 02:41:32 PM,40.72955361,,-73.98057249,,E 13 St & Avenue A,,E 13 St & Avenue A,1,In Service,False,39
195,,6,20,,434,,2016-11-22 02:44:39 PM,40.74317449,,-74.00366443,,9 Ave & W 18 St,,9 Ave & W 18 St,1,In Service,False,27
196,,25,20,,435,,2016-11-22 02:44:47 PM,40.74173969,,-73.99415556,,W 21 St & 6 Ave,,W 21 St & 6 Ave,1,In Service,False,47
197,,7,20,,436,,2016-11-22 02:42:41 PM,40.68216564,,-73.95399026,,Hancock St & Bedford Ave,,Hancock St & Bedford Ave,1,In Service,False,27
198,,17,7,,437,,2016-11-22 02:43:58 PM,40.6809833854,,-73.9500479759,,Macon St & Nostrand Ave,,Macon St & Nostrand Ave,1,In Service,False,24
