,month,day_of_month,day_of_week,neighborhood,hour,normalized_imbalance,hour_group
129,7,1,4,Northwest Brooklyn,9,-0.00568951503658,9
130,7,1,4,Northwest Brooklyn,10,0.00189650501219,10-16
131,7,1,4,Northwest Brooklyn,11,0.000541858574912,10-16
132,7,1,4,Northwest Brooklyn,12,0.00460579788675,10-16
133,7,1,4,Northwest Brooklyn,13,-0.00352208073693,10-16
134,7,1,4,Northwest Brooklyn,14,-0.00108371714982,10-16
135,7,1,4,Northwest Brooklyn,15,-0.00325115144947,10-16
136,7,1,4,Northwest Brooklyn,16,0.00189650501219,10-16
137,7,1,4,Northwest Brooklyn,17,-0.00704416147386,17
138,7,1,4,Northwest Brooklyn,18,0.0043348685993,18
139,7,1,4,Northwest Brooklyn,19,-0.00650230289894,19
140,7,1,4,Northwest Brooklyn,20,0.00135464643728,20
141,7,1,4,Northwest Brooklyn,21,-0.000812787862368,21
142,7,1,4,Northwest Brooklyn,22,-0.000812787862368,night
143,7,1,4,Northwest Brooklyn,23,-0.00108371714982,night
144,7,1,4,Upper East Side,0,-0.00250626566416,night
145,7,1,4,Upper East Side,1,-0.00250626566416,night
146,7,1,4,Upper East Side,2,-0.00334168755221,night
147,7,1,4,Upper East Side,3,-0.00250626566416,night
148,7,1,4,Upper East Side,4,-0.00167084377611,night
149,7,1,4,Upper East Side,5,0.00417710944027,night
150,7,1,4,Upper East Side,6,0.00417710944027,7
151,7,1,4,Upper East Side,7,0.0442773600668,7
152,7,1,4,Upper East Side,8,0.112781954887,8
153,7,1,4,Upper East Side,9,0.0534670008354,9
154,7,1,4,Upper East Side,10,-0.0167084377611,10-16
155,7,1,4,Upper East Side,11,0.00584795321637,10-16
156,7,1,4,Upper East Side,12,-0.0108604845447,10-16
157,7,1,4,Upper East Side,13,0.0,10-16
158,7,1,4,Upper East Side,14,-0.0334168755221,10-16
159,7,1,4,Upper East Side,15,-0.030910609858,10-16
160,7,1,4,Upper East Side,16,0.0133667502089,10-16
161,7,1,4,Upper East Side,17,-0.0242272347536,17
162,7,1,4,Upper East Side,18,-0.00250626566416,18
163,7,1,4,Upper East Side,19,-0.00417710944027,19
164,7,1,4,Upper East Side,20,-0.00501253132832,20
165,7,1,4,Upper East Side,21,-0.00167084377611,21
166,7,1,4,Upper East Side,22,-0.00417710944027,night
167,7,1,4,Upper East Side,23,-0.000835421888053,night
168,7,1,4,Gramercy Park and Murray Hill,0,0.00408163265306,night
169,7,1,4,Gramercy Park and Murray Hill,1,-0.00340136054422,night
170,7,1,4,Gramercy Park and Murray Hill,2,-0.000680272108844,night
171,7,1,4,Gramercy Park and Murray Hill,3,-0.00408163265306,night
172,7,1,4,Gramercy Park and Murray Hill,4,0.0,night
173,7,1,4,Gramercy Park and Murray Hill,5,-0.0149659863946,night
174,7,1,4,Gramercy Park and Murray Hill,6,-0.0544217687075,7
175,7,1,4,Gramercy Park and Murray Hill,7,-0.0952380952381,7
176,7,1,4,Gramercy Park and Murray Hill,8,-0.181632653061,8
177,7,1,4,Gramercy Park and Murray Hill,9,-0.228571428571,9
178,7,1,4,Gramercy Park and Murray Hill,10,-0.0238095238095,10-16
179,7,1,4,Gramercy Park and Murray Hill,11,0.0176870748299,10-16
180,7,1,4,Gramercy Park and Murray Hill,12,0.0605442176871,10-16
181,7,1,4,Gramercy Park and Murray Hill,13,0.069387755102,10-16
182,7,1,4,Gramercy Park and Murray Hill,14,0.0741496598639,10-16
183,7,1,4,Gramercy Park and Murray Hill,15,0.0795918367347,10-16
184,7,1,4,Gramercy Park and Murray Hill,16,0.142857142857,10-16
185,7,1,4,Gramercy Park and Murray Hill,17,0.0231292517007,17
186,7,1,4,Gramercy Park and Murray Hill,18,0.0326530612245,18
187,7,1,4,Gramercy Park and Murray Hill,19,0.0326530612245,19
188,7,1,4,Gramercy Park and Murray Hill,20,-0.0163265306122,20
189,7,1,4,Gramercy Park and Murray Hill,21,0.0,21
190,7,1,4,Gramercy Park and Murray Hill,22,-0.0047619047619,night
191,7,1,4,Gramercy Park and Murray Hill,23,-0.00544217687075,night
192,7,1,4,Bushwick and Williamsburg,0,0.00695134061569,night
193,7,1,4,Bushwick and Williamsburg,1,0.000993048659384,night
194,7,1,4,Bushwick and Williamsburg,2,0.000993048659384,night
195,7,1,4,Bushwick and Williamsburg,3,0.00297914597815,night
196,7,1,4,Bushwick and Williamsburg,4,0.00595829195631,night
197,7,1,4,Bushwick and Williamsburg,5,0.0,night
198,7,1,4,Bushwick and Williamsburg,6,0.0119165839126,7
199,7,1,4,Bushwick and Williamsburg,7,0.00993048659384,7
200,7,1,4,Bushwick and Williamsburg,8,0.0228401191658,8
201,7,1,4,Bushwick and Williamsburg,9,0.00993048659384,9
202,7,1,4,Bushwick and Williamsburg,10,-0.00297914597815,10-16
203,7,1,4,Bushwick and Williamsburg,11,0.00893743793446,10-16
204,7,1,4,Bushwick and Williamsburg,12,-0.00496524329692,10-16
205,7,1,4,Bushwick and Williamsburg,13,0.00893743793446,10-16
206,7,1,4,Bushwick and Williamsburg,14,-0.0148957298908,10-16
207,7,1,4,Bushwick and Williamsburg,15,-0.00397219463754,10-16
208,7,1,4,Bushwick and Williamsburg,16,0.00695134061569,10-16
209,7,1,4,Bushwick and Williamsburg,17,-0.00794438927507,17
210,7,1,4,Bushwick and Williamsburg,18,0.00794438927507,18
211,7,1,4,Bushwick and Williamsburg,19,-0.00695134061569,19
212,7,1,4,Bushwick and Williamsburg,20,0.00397219463754,20
213,7,1,4,Bushwick and Williamsburg,21,-0.00397219463754,21
214,7,1,4,Bushwick and Williamsburg,22,-0.0188679245283,night
215,7,1,4,Bushwick and Williamsburg,23,-0.00993048659384,night
216,7,1,4,Upper West Side,0,-0.00613496932515,night
217,7,1,4,Upper West Side,1,-0.00788781770377,night
218,7,1,4,Upper West Side,2,-0.00262927256792,night
219,7,1,4,Upper West Side,3,0.000876424189308,night
220,7,1,4,Upper West Side,4,0.000876424189308,night
221,7,1,4,Upper West Side,5,0.0122699386503,night
222,7,1,4,Upper West Side,6,0.0482033304119,7
223,7,1,4,Upper West Side,7,0.0929009640666,7
224,7,1,4,Upper West Side,8,0.197195442594,8
225,7,1,4,Upper West Side,9,0.0832602979842,9
226,7,1,4,Upper West Side,10,0.0105170902717,10-16
227,7,1,4,Upper West Side,11,-0.00175284837862,10-16
228,7,1,4,Upper West Side,12,0.00262927256792,10-16
229,7,1,4,Upper West Side,13,-0.00175284837862,10-16
230,7,1,4,Upper West Side,14,-0.0324276950044,10-16
231,7,1,4,Upper West Side,15,-0.0771253286591,10-16
232,7,1,4,Upper West Side,16,-0.0166520595968,10-16
233,7,1,4,Upper West Side,17,-0.0508326029798,17
234,7,1,4,Upper West Side,18,-0.00964066608238,18
235,7,1,4,Upper West Side,19,-0.00438212094654,19
236,7,1,4,Upper West Side,20,0.00262927256792,20
237,7,1,4,Upper West Side,21,-0.00701139351446,21
238,7,1,4,Upper West Side,22,0.000876424189308,night
239,7,1,4,Upper West Side,23,0.0,night
240,7,1,4,Central Brooklyn,0,-0.00263504611331,night
241,7,1,4,Central Brooklyn,1,-0.00263504611331,night
242,7,1,4,Central Brooklyn,2,-0.00922266139657,night
243,7,1,4,Central Brooklyn,3,0.0,night
244,7,1,4,Central Brooklyn,4,0.00131752305665,night
245,7,1,4,Central Brooklyn,5,0.00527009222661,night
246,7,1,4,Central Brooklyn,6,0.00658761528327,7
247,7,1,4,Central Brooklyn,7,0.0144927536232,7
248,7,1,4,Central Brooklyn,8,0.0579710144928,8
249,7,1,4,Central Brooklyn,9,0.0447957839262,9
250,7,1,4,Central Brooklyn,10,0.0118577075099,10-16
251,7,1,4,Central Brooklyn,11,0.0118577075099,10-16
252,7,1,4,Central Brooklyn,12,0.00922266139657,10-16
253,7,1,4,Central Brooklyn,13,0.00131752305665,10-16
254,7,1,4,Central Brooklyn,14,-0.00263504611331,10-16
255,7,1,4,Central Brooklyn,15,-0.00527009222661,10-16
256,7,1,4,Central Brooklyn,16,-0.00658761528327,10-16
257,7,1,4,Central Brooklyn,17,-0.00263504611331,17
258,7,1,4,Central Brooklyn,18,-0.00131752305665,18
259,7,1,4,Central Brooklyn,19,-0.0171277997365,19
260,7,1,4,Central Brooklyn,20,-0.0131752305665,20
261,7,1,4,Central Brooklyn,21,-0.00131752305665,21
262,7,1,4,Central Brooklyn,22,0.00263504611331,night
263,7,1,4,Central Brooklyn,23,0.00395256916996,night
264,7,1,4,Northwest Queens,0,-0.0131233595801,night
265,7,1,4,Northwest Queens,1,0.0,night
266,7,1,4,Northwest Queens,4,0.00262467191601,night
267,7,1,4,Northwest Queens,5,-0.00262467191601,night
268,7,1,4,Northwest Queens,6,-0.00262467191601,7
269,7,1,4,Northwest Queens,7,0.00262467191601,7
270,7,1,4,Northwest Queens,8,-0.0472440944882,8
271,7,1,4,Northwest Queens,9,0.0157480314961,9
272,7,1,4,Northwest Queens,10,-0.0314960629921,10-16
273,7,1,4,Northwest Queens,11,0.0183727034121,10-16
274,7,1,4,Northwest Queens,12,0.010498687664,10-16
